date_column,site,category,brand,model_name,product_title,price_usd,os,ram_gb,storage,screen_size_in,resolution,refresh_rate_hz,cpu_speed_ghz,connectivity_technology,cpu_model,color,wireless_carrier,cellular_technology,all_reviews,rate,discount
2024-09-06,amazon_egy,mobile phones,samsung,a34,"samsung a34 5g 8gb ram, 256gb - awesome lime",0.0,,8,256,6.5,1080 x 2400,120,,,snapdragon,,,5g,"[{'reviewer': 'خالد فهمى', 'rating': '4.0 ', 'date': 'reviewed in egypt on 26 august 2024', 'review': 'الموبايل جيد والكاميرات ممتازة بس يعيبه ضعف الشبكات وعدم وجود الشاحن'}]",4.0,0.0
2024-09-06,amazon_egy,mobile phones,samsung,a23,"samsung galaxy a23 dual sim,128 gb, 4gb ram - peach",6511.0,android 10.0,4,4,6.6,1080 x 2408,90,1.8 ghz,"bluetooth, wi-fi, usb",snapdragon,peach,cellular,,"[{'reviewer': 'omar', 'rating': '5.0 ', 'date': 'reviewed in egypt on 24 march 2024', 'review': 'بعد فترة من الاستخدام الهاتف شغال كويس ولكن دائما نظام الاندرويد بعد فترة من الأستخدام بيكون بطيء جدا'}, {'reviewer': 'محمد مغازي', 'rating': '5.0 ', 'date': 'reviewed in egypt on 19 november 2023', 'review': 'جميل جدا ويريت ينزله زيه كتير ❤️❤️'}, {'reviewer': 'اشرف القاضى', 'rating': '4.0 ', 'date': 'reviewed in egypt on 21 november 2022', 'review': 'العلبه وصلت مقطوعه داخل الطرد لكن الجهاز سليم وشغال'}, {'reviewer': 'walaa moustafa zawya', 'rating': '5.0 ', 'date': 'reviewed in egypt on 26 december 2022', 'review': 'موبايل جيد جدا بالفعل وسعر مناسب'}, {'reviewer': 'يوسف بندق', 'rating': '5.0 ', 'date': 'reviewed in egypt on 15 december 2022', 'review': 'احب ارجع المنتج'}]",4.2,0.0
2024-09-06,amazon_egy,mobile phones,itel,it2160,itel it2160-1.77-inch dual sim mobile phone - black,488.0,,4,256,1.7,320 x 240,60,,,,,,3g,"[{'reviewer': 'اسماء', 'rating': '5.0 ', 'date': 'reviewed in egypt on 27 august 2024', 'review': 'اشكرك يا امازون المنتج جميل جدا فعلا منتج مصري محترم جدا ♥️'}, {'reviewer': 'fahima fadel', 'rating': '1.0 ', 'date': 'reviewed in egypt on 11 june 2024', 'review': 'very bad quality battery does not charge dont recommended it'}, {'reviewer': 'user-mqfaxz', 'rating': '3.0 ', 'date': 'reviewed in egypt on 13 july 2024', 'review': 'متوسط'}, {'reviewer': 'hossam abdelnaby', 'rating': '4.0 ', 'date': 'reviewed in egypt on 6 may 2022', 'review': 'تمام'}, {'reviewer': 'asmaa', 'rating': '5.0 ', 'date': 'reviewed in egypt on 14 july 2024', 'review': 'جميل جدا بطاريه قويه وشبكه كويسه وصوت كويس'}]",3.5,17.0
2024-09-06,amazon_egy,mobile phones,samsung,a25 5g,samsung a25 8-256 light blue,11333.0,android 11.0,8,256,6.5,1080 x 2340,90,,"bluetooth, wi-fi, usb",snapdragon,light blue,cellular,,"[{'reviewer': 'tony-lord', 'rating': '5.0 ', 'date': 'reviewed in egypt on 2 april 2024', 'review': '- the device has nfc.\n- the device has has audio aux 3.5mm jack.\n- the device has side fingerprint up to 3 prints.\n- has dual slots (2 sim slots or sim and sd card).\n- plastic frame and plastic back (but excellent quality)\n\nsome info you may need👆'}, {'reviewer': 'amr mohamed', 'rating': '4.0 ', 'date': 'reviewed in egypt on 20 june 2024', 'review': 'انا حبيت الشاشة جدا والوانها وال refresh rate\nلكن ما حببيتش البطارية وسعتها اللي بالعافية بتكمل اليوم بس الصراحة سرعة الشحن ممتازة'}, {'reviewer': 'nessma', 'rating': '1.0 ', 'date': 'reviewed in egypt on 24 july 2024', 'review': 'خدوا بالكم الضمان دولي'}, {'reviewer': 'مصطفى عبد الخالق', 'rating': '5.0 ', 'date': 'reviewed in egypt on 16 may 2024', 'review': 'سامسونج طبعا موبايل كويس جداا'}, {'reviewer': 'hesham ahmed', 'rating': '5.0 ', 'date': 'reviewed in egypt on 11 may 2024', 'review': 'جهاز محترم وعملى'}]",3.8,6.0
2024-09-06,amazon_egy,mobile phones,honor,honor x7a,honor x7a 4gb ram 128gb internal storage-ocean blue,0.0,,4,128,6.74,1080 x 2280,60,1.8 ghz,,,,,,"[{'reviewer': 'mohamed hassan shehata', 'rating': '5.0 ', 'date': 'reviewed in egypt on 21 june 2024', 'review': 'المنتج كويسى جدا وانصح بشراءئة مرة اخرى'}, {'reviewer': 'hany joe', 'rating': '5.0 ', 'date': 'reviewed in egypt on 6 march 2024', 'review': 'موبايل جيد جدا....شكرا امازون..'}, {'reviewer': 'mohamed mahmoud', 'rating': '4.0 ', 'date': 'reviewed in egypt on 14 november 2023', 'review': 'بطارية ممتازة تم تقييمها كأفضل ثالث بطارية في العالم لعام 2023 تستمر ليومين في المتوسط\nشبكة ممتازة وجودة مكالمات ممتازة والصوت عالي وواضح في المايك والسماعات\nالشاشة بهتانة شوية بس مش فارقة معايا والصوت مونو مش ستيريو والتصوير وتصوير الفيديو يؤدي الغرض وبطيئ وفيه لاج شوية ولا يصلح للألعاب القوية هو مناسب لحد يكون بيشتغل طول اليوم خارج المنزل لأنه مش هيحتاج يشحن مهما كان إستخدامه ومناسب أيضا لحد شغله بيعتمد علي المكالمات ويهمه جودة الشبكة وجودة المكالمة'}, {'reviewer': '.. جهاز عملي وامكاناته متوافقه مع سعره وحجمه جيد', 'rating': '5.0 ', 'date': 'reviewed in egypt on 20 april 2024', 'review': '.. خواص الجهاز جيدة وله بطاريه رائعه تعمل لمدة طويلة والسعر معتدل بالنسبه لإمكاناته.'}]",4.8,0.0
2024-09-06,amazon_egy,mobile phones,ace,,ace fe2 dual sim with camera 1gb ram+1gb rom (1.77 inches) (2g) - (black),444.0,,1,256,6.4,,70,,usb,snapdragon,black,cellular,2g,"[{'reviewer': 'السندباد', 'rating': '1.0 ', 'date': 'reviewed in egypt on 31 may 2024', 'review': 'منتج سيء جدا جدا صوت وشبكة زفت وذاكرة مفيش'}]",1.0,0.0
2024-09-06,amazon_egy,mobile phones,honor,honor x6a,"honor x6a mobile phone unlocked, 6.5-inch 90hz fullview display, 4gb+128gb, 5200 mah long-lasting battery, 50mp triple camera, android 13, sky silver",0.0,android 13.0,4,4,6.57,,90,,"bluetooth, wi-fi",snapdragon,,wi-fi,4g,"[{'reviewer': 'سي جدا قمت بارجع المنتج ولم يرد المبلغ', 'rating': '1.0 ', 'date': 'reviewed in egypt on 7 march 2024', 'review': 'المتسبب في تبادل الشحنه حسبي الله ونعم الوكيل'}, {'reviewer': 'جوال ممتاز جدا وسعره مناسب انصح بشراؤه', 'rating': '5.0 ', 'date': 'reviewed in saudi arabia on 29 july 2024', 'review': 'جهاز مناسب من ناحية السعر ومن ناحيه انه جهاز عملي'}, {'reviewer': 'ahmed salama', 'rating': '4.0 ', 'date': 'reviewed in the united arab emirates on 16 april 2024', 'review': 'perfect as a gift, decent quality, amazing features.'}, {'reviewer': 'ابو ا.', 'rating': '4.0 ', 'date': 'reviewed in saudi arabia on 1 august 2024', 'review': 'جميل'}, {'reviewer': 'maryam space', 'rating': '3.0 ', 'date': 'reviewed in saudi arabia on 11 june 2024', 'review': 'لاصحاب الدخل المحدود او لطفل لسه صغير وخايف تشيله جوال غالي اظنه يفي بالغرض تماما\nالتصوير جيد جدا مقارنة بالسعر\nويوجد كل الخدمات الموجودة باي جهاز سامسونج عادي\nوشحنه سريع والانترنت مايقطع'}]",4.2,0.0
2024-09-06,amazon_egy,mobile phones,honor,honor x9b,honor x9b dual sim 12gb ram+256gb rom (6.78 inches) (5g)- (emerald green)+honor band 7,27002.0,android 13.0,12,256,6.78,,120,,"bluetooth, usb",snapdragon,emerald green,cellular,5g,"[{'reviewer': 'مصطفى أحمد سيف', 'rating': '1.0 ', 'date': 'reviewed in egypt on 20 august 2024', 'review': 'تليفون ده سعره دلوقتي نزل الى 13 000 ونزل الى لحد 12000 ونص ازاي انتم العرضيني ب 27000 وهو ب 13'}, {'reviewer': 'mohamed', 'rating': '1.0 ', 'date': 'reviewed in egypt on 25 august 2024', 'review': 'سعرة الان ١٣٥٠٠'}]",1.0,0.0
2024-09-06,amazon_egy,mobile phones,realme,realme c63,realme c63 dual sim 8gb ram 256gb 4g (leather blue) - middle east version,0.0,,8,256,0.0,,0,,,,leather blue,,4g,"[{'reviewer': 'atef fouad', 'rating': '1.0 ', 'date': 'reviewed in saudi arabia on 24 august 2024', 'review': 'suddenly overheated while charging, and then stopped working.'}]",1.0,0.0
2024-09-06,amazon_egy,mobile phones,realme,c67,realme c67 256gb 8gb ram 4g lte rmx3890 black rock,7990.0,,8,8,6.72,1080 x 2400,120,1.8 ghz,,snapdragon,,,,"[{'reviewer': 'hossam ali', 'rating': '5.0 ', 'date': 'reviewed in egypt on 28 august 2024', 'review': 'كويس جدا في الاستخدام\nو التوصيل كان تاني يوم'}, {'reviewer': 'شنودة ث.', 'rating': '5.0 ', 'date': 'reviewed in egypt on 10 august 2024', 'review': 'تلفون ممتاز جدا وعملى وانصحةبشراؤة'}, {'reviewer': 'jon jones', 'rating': '4.0 ', 'date': 'reviewed in saudi arabia on 16 june 2024', 'review': 'this device has a very good design, fast charging and excellent battery life. the only issue i have been getting with it is of wifi connections dropping.'}]",3.8,0.0
